"Wallis und Futuna";"00681"
"Palau";"00680"
"Fidschi";"00679"
"Salomon";"00677"
"Tonga";"00676"
"Papua-Neuguinea";"00675"
"Nauru";"00674"
"Brunei";"00673"
"Antarktis";"00672"
"Norfolk";"00672"
"Osttimor";"00670"
"Thailand";"0066"
"Singapur";"0065"
"Neuseeland";"0064"
"Philippinen";"0063"
"Indonesien";"0062"
"Australien";"0061"
"Malaysia";"0060"
"Curaçao";"00599"
"Karibische Niederlande";"00599"
"Uruguay";"00598"
"Surinam";"00597"
"Martinique";"00596"
"Paraguay";"00595"
"Französisch-Guayana";"00594"
"Ecuador";"00593"
"Guayana";"00592"
"Bolivien";"00591"
"Guadeloupe";"00590"
"Venezuela";"0058"
"Kolumbien";"0057"
"Chile";"0056"
"Brasilien";"0055"
"Argentinien";"0054"
"Kuba";"0053"
"Mexiko";"0052"
"Peru";"0051"
"Haiti";"00509"
"Saint-Pierre und Miquelon";"00508"
"Panama";"00507"
"Costa Rica";"00506"
"Nicaragua";"00505"
"Honduras";"00504"
"El Salvador";"00503"
"Guatemala";"00502"
"Belize";"00501"
"Falkland";"00500"
"Deutschland";"0049"
"Polen";"0048"
"Norwegen";"0047"
"Schweden";"0046"
"Dänemark";"0045"
"Grossbritannien und Nordirland";"0044"
"Österreich";"0043"
"Liechtenstein";"00423"
"Slowakische Republik";"00421"
"Tschechische Republik";"00420"
"Schweiz";"0041"
"Rumänien";"0040"
"Italien";"0039"
"Mazedonien";"00389"
"Bosnien-Herzegowina";"00387"
"Slowenien";"00386"
"Kroatien";"00385"
"Montenegro";"00382"
"Kosovo";"00381"
"Serbien";"00381"
"Ukraine";"00380"
"San Marino";"00378"
"Monaco";"00377"
"Andorra";"00376"
"Weissrussland";"00375"
"Armenien";"00374"
"Moldawien";"00373"
"Estland";"00372"
"Lettland";"00371"
"Litauen";"00370"
"Ungarn";"0036"
"Bulgarien";"00359"
"Finnland";"00358"
"Zypern";"00357"
"Malta";"00356"
"Albanien";"00355"
"Island";"00354"
"Irland";"00353"
"Luxemburg";"00352"
"Portugal";"00351"
"Gibraltar";"00350"
"Spanien";"0034"
"Frankreich";"0033"
"Belgien";"0032"
"Niederlande";"0031"
"Griechenland";"0030"
"Grönland";"00299"
"Färöer";"00298"
"Aruba";"00297"
"Eritrea";"00 291"
"St. Helena, Ascension und Tristan da Cunha";"00290"
"Südafrika";"0027"
"Komoren";"00269"
"Swasiland";"00268"
"Botswana";"00267"
"Lesotho";"00266"
"Malawi";"00265"
"Namibia";"00264"
"Simbabwe";"00263"
"Mayotte";"00262"
"Réunion";"00262"
"Madagaskar";"00261"
"Sambia";"00260"
"Mosambik";"00258"
"Burundi";"00257"
"Uganda";"00256"
"Tansania";"00255"
"Kenia";"00254"
"Djibouti";"00253"
"Somalia";"00252"
"Äthiopien";"00251"
"Rwanda";"00250"
"Sudan";"00249"
"Seychellen";"00248"
"Ascension";"00247"
"Diego Garcia";"00246"
"Guinea-Bissau";"00245"
"Angola";"00244"
"Kongo, Demokratische Republik";"00243"
"Kongo, Republik";"00242"
"Gabun";"00241"
"Äquatorial-Guinea";"00240"
"São Tomé und Principe";"00239"
"Kapverdische Inseln";"00238"
"Kamerun";"00237"
"Zentralafrikanische Republik";"00236"
"Tschad";"00235"
"Nigeria";"00234"
"Ghana";"00233"
"Sierra Leone";"00232"
"Liberia";"00231"
"Mauritius";"00230"
"Benin";"00229"
"Togo";"00228"
"Niger";"00227"
"Burkina Faso";"00226"
"Elfenbeinküste";"00225"
"Guinea";"00224"
"Mali";"00223"
"Mauretanien";"00222"
"Senegal";"00221"
"Gambia";"00220"
"Libyen";"00218"
"Tunesien";"00216"
"Algerien";"00213"
"Marokko";"00212"
"Südsudan";"00211"
"Ägypten";"0020"
"Russlans/Kasachstan";"007"
"USA/Kanada";"001"
